DD Audio 608f-D2 1000/3000W - NY!,Digital Design subwoofer,Varenr :,30189,Enhet :,stk,Listepris :,Antall Pakke :,2 690.00,stk,Vekt :,9.0800 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>REVISJON F \r\n</li><li>Tidli...'>]"
FOCAL SUB 5KM K2 POWER M,K2 POWER M serien,Varenr :,16262,Enhet :,stk,Listepris :,Antall Pakke :,4 590.00,stk,Vekt :,2.6000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>Kraft og kompakthet er nøkk...'>]"
Ground Zero The GERMANATOR,"33"" subwoofer!",Varenr :,17477,Enhet :,stk,Listepris :,Antall Pakke :,59 000.00,stk,Vekt :,96.0000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>- High power 33” Subwoofer ...'>]"
DD Audio 815f-D1 2500/7500W - NY!,Digital Design subwoofer,Varenr :,30209,Enhet :,stk,Listepris :,Antall Pakke :,9 990.00,stk,Vekt :,35.2000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>15"" \r\n</li><li>LOUD subwoof...'>]"
DD Audio 612f-D4 1000/3000W - NY!,Digital Design subwoofer,Varenr :,30180,Enhet :,stk,Listepris :,Antall Pakke :,3 590.00,stk,Vekt :,12.3000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>REVISJON F \r\n</li><li>Tidli...'>]"
GLADEN ONE 165 Fiat Ducato remi,Plug and Play,Varenr :,50092,Enhet :,par,Listepris :,Antall Pakke :,2 990.00,par,Vekt :,.0000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>Plug and Play 2-veis system...'>]"
"FOCAL PSA Y-ISO kabel, IW-PSA-YISO",,Varenr :,16239,Enhet :,stk,Listepris :,Antall Pakke :,550.00,stk,Vekt :,.0000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>The Focal Inside PSA Y-ISO ...'>]"
Universal radioadapter,,Varenr :,271000-02,Enhet :,stk,Listepris :,Antall Pakke :,,stk,Vekt :,.0000 Kg,[]
MOSCONI ONE 130.2 - sluttsolgt!,2 kanals forsterker 2 x 175W @ 2 0hm,Varenr :,50102,Enhet :,stk,Listepris :,Antall Pakke :,3 190.00,stk,Vekt :,.0000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>Mosconi ONE 130.2 er en uni...'>]"
FOCAL ULTIMA - sluttsolgt!,"165mm 2 veis kit med 2 stk ekstra 8"" basser",Varenr :,16110,Enhet :,par,Listepris :,Antall Pakke :,85 000.00,par,Vekt :,.0000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li><strong>FOCAL ULTIMA</stron...'>]"
Ground Zero GZCA 35.0SPL-M1 - sluttsolgt!,High SPL Pure Competition Amplifier,Varenr :,17593,Enhet :,stk,Listepris :,Antall Pakke :,29 990.00,stk,Vekt :,14.4500 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li><strong>GROUND ZERO GZCA 35...'>]"
Ground Zero Plutonium Reference 180mm Eisa vinner 2012-13,180mm 2 veis komponentsystem,Varenr :,17151,Enhet :,PAR,Listepris :,Antall Pakke :,27 000.00,PAR,Vekt :,.0000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li><strong>Eisa vinner 2012-13...'>]"
Ground Zero GZCA 20.0SPL-M1 - sluttsolgt!,High SPL Competition Amplifier,Varenr :,17594,Enhet :,stk,Listepris :,Antall Pakke :,25 990.00,stk,Vekt :,14.0000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li><strong>GROUND ZERO GZCA 20...'>]"
Ground Zero GZPW 15SPL-EXTREME,Plutonium Extreme,Varenr :,17389,Enhet :,stk,Listepris :,Antall Pakke :,20 900.00,stk,Vekt :,47.0000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>- The world champion subwoo...'>]"
"DD Audio 9921 D0,5 - sluttsolgt!","DD Audio 21"" subwoofer med 4"" svingspole",Varenr :,30065,Enhet :,stk,Listepris :,Antall Pakke :,19 900.00,stk,Vekt :,41.7700 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>The 9900s are the go to sub...'>]"
Ground Zero GZNW 38NEO-SPL - sluttsolgt!,Nuclear SPL Subwoofer,Varenr :,17512,Enhet :,stk,Listepris :,Antall Pakke :,19 900.00,stk,Vekt :,30.0000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>38 cm / 15"" bass med 13 stk...'>]"
SoundQubed U1-13000 - sluttsolgt!,SoundQubed Monoblock amplifier,Varenr :,32010,Enhet :,stk,Listepris :,Antall Pakke :,16 900.00,stk,Vekt :,.0000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>The SoundQubed U1-13000 Cla...'>]"
FOCAL ES165KX3 - sluttsolgt!,Elite K2 Power,Varenr :,16146,Enhet :,par,Listepris :,Antall Pakke :,12 490.00,par,Vekt :,9.2500 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>Vinner av årets innovasjon ...'>]"
DD Audio M3d - sluttsolgt!,Digital Design forsterker,Varenr :,30028,Enhet :,stk,Listepris :,Antall Pakke :,9 990.00,stk,Vekt :,10.4400 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>Operating Voltage: 9 - 16 \r...'>]"
SoundQubed U1-8000 - sluttsolgt!,,Varenr :,32003,Enhet :,stk,Listepris :,Antall Pakke :,8 490.00,stk,Vekt :,.0000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>The SoundQubed U1-8000 Clas...'>]"
MOSCONI PICO 8 | 10 DSP - sluttsolgt!,8 kanals klasse D med 10 kanals DSP,Varenr :,50001,Enhet :,stk,Listepris :,Antall Pakke :,7 290.00,stk,Vekt :,1.6000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li><strong>MOSCONI PICO - PLUG...'>]"
DD Audio M2000 - erstattes av M2500,Digital Design forsterker,Varenr :,30162,Enhet :,stk,Listepris :,Antall Pakke :,6 990.00,stk,Vekt :,5.0000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>Neste generasjon av den iko...'>]"
GLADEN ZERO 165.3 DC - sluttsolgt!,Made in Germany,Varenr :,50116,Enhet :,par,Listepris :,Antall Pakke :,6 990.00,par,Vekt :,.0000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>Gladen Zero høyttalerne er ...'>]"
Ground Zero GZNW 15SPL-XFlex - sluttsolgt!,Nuclear SPL XFlex subwoofer,Varenr :,17555,Enhet :,stk,Listepris :,Antall Pakke :,6 990.00,stk,Vekt :,25.5000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>38 cm / 15"" bass \r\n</li><li...'>]"
MOSCONI ONE 1000.1 24 VOLT - sluttsolgt!,Mono 1000 Watt RMS @ 2 ohm 24V,Varenr :,50022,Enhet :,stk,Listepris :,Antall Pakke :,5 990.00,stk,Vekt :,.0000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>Warm Digital Sound"" - MOSCO...'>]"
SoundQubed U1-5000 - sluttsolgt!,SoundQubed Monoblock amplifier,Varenr :,32002,Enhet :,stk,Listepris :,Antall Pakke :,5 990.00,stk,Vekt :,.0000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>The SoundQubed U1-5000 Clas...'>]"
DD Audio DM2500a,Digital Design forsterker,Varenr :,30034,Enhet :,stk,Listepris :,Antall Pakke :,5 790.00,stk,Vekt :,.0000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>Test Voltage 14.4 \r\n</li><l...'>]"
FOCAL iBUS2.1 - sluttsolgt!,"aktiv Plug & Play kasse med 8"" bass",Varenr :,16089,Enhet :,stk,Listepris :,Antall Pakke :,5 290.00,stk,Vekt :,7.0000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li><em><strong>Kampanje - førp...'>]"
DD Audio DSI-3 DSP med 12 kanaler - lager 2025,12 kanals DSP med innebygget BT,Varenr :,30154,Enhet :,stk,Listepris :,Antall Pakke :,4 990.00,stk,Vekt :,.9800 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>DSP som justeres med mobil ...'>]"
DD Audio 715d D2 - sluttsolgt!,Digital Design subwoofer,Varenr :,30045,Enhet :,stk,Listepris :,Antall Pakke :,4 790.00,stk,Vekt :,19.1000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>38 cm / 15"" bass \r\n</li><li...'>]"
DD Audio DM1500a - sluttsolgt!,Digital Design forsterker,Varenr :,30033,Enhet :,stk,Listepris :,Antall Pakke :,4 590.00,stk,Vekt :,3.2000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>Test Voltage 14.4 \r\n</li><l...'>]"
SoundQubed U4-500 - sluttsolgt!,4 x 500W RMS @ 1 OHM,Varenr :,32004,Enhet :,stk,Listepris :,Antall Pakke :,4 390.00,stk,Vekt :,.0000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>The SoundQubed U4-500 offer...'>]"
FOCAL ES165K - sluttsolgt!,Elite K2 Power,Varenr :,16143,Enhet :,par,Listepris :,Antall Pakke :,4 590.00,par,Vekt :,4.1000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>Vinner av årets innovasjon ...'>]"
FOCAL ES130K - sluttsolgt!,Elite K2 Power,Varenr :,16144,Enhet :,par,Listepris :,Antall Pakke :,4 290.00,par,Vekt :,3.2200 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>Vinner av årets innovasjon ...'>]"
FOCAL ES100K - sluttsolgt!,Elite K2 Power,Varenr :,16145,Enhet :,par,Listepris :,Antall Pakke :,4 290.00,par,Vekt :,1.8700 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>Vinner av årets innovasjon ...'>]"
SounDigital SD3000.1 - sluttsolgt!,Soundigital mono forsterker,Varenr :,33002,Enhet :,stk,Listepris :,Antall Pakke :,4 190.00,stk,Vekt :,.0000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>Soundigitals Evolusjonsseri...'>]"
FOCAL iBUS20 - sluttsolgt!,"aktiv Plug & Play kasse med 8"" bass",Varenr :,16066,Enhet :,stk,Listepris :,Antall Pakke :,3 990.00,stk,Vekt :,6.0000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li><em><strong>Testvinner i Ca...'>]"
DD Audio 712d D2 - sluttsolgt!,Digital Design subwoofer,Varenr :,30052,Enhet :,stk,Listepris :,Antall Pakke :,3 790.00,stk,Vekt :,17.8000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>30 cm / 12"" bass \r\n</li><li...'>]"
GLADEN SQX 130 Slim - sluttsolgt!,German Technology,Varenr :,50173,Enhet :,par,Listepris :,Antall Pakke :,3 590.00,par,Vekt :,.0000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>130 mm høyttalersett med hø...'>]"
GLADEN RSX 12 SB - sluttsolgt!,"1x12"" i 32 liter lukket kabinett",Varenr :,50110,Enhet :,stk,Listepris :,Antall Pakke :,3 490.00,stk,Vekt :,17.5000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>Kompakt Gladen RSX subwoofe...'>]"
Ground Zero GZTA 4230X-B - sluttsolgt!,Titanium 4 kanaler,Varenr :,17612,Enhet :,stk,Listepris :,Antall Pakke :,3 490.00,stk,Vekt :,6.0000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li><em>De nye 2020 modellene i...'>]"
DD Audio LE-M512d-D2 - sluttsolgt!,"Digital Design 12"" basskasse",Varenr :,30118,Enhet :,stk,Listepris :,Antall Pakke :,3 490.00,stk,Vekt :,25.9000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>LE-M is more! DD Audio LE-5...'>]"
DD Audio 615e D4 - sluttsolgt!,,Varenr :,30127,Enhet :,stk,Listepris :,Antall Pakke :,3 390.00,stk,Vekt :,.0000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>e like European! DD Audio a...'>]"
SounDigital SD1600.1 EVO4 2 ohm - sluttsolgt!,Soundigital mono forsterker,Varenr :,33001,Enhet :,stk,Listepris :,Antall Pakke :,3 290.00,stk,Vekt :,.0000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>Soundigitals Evolusjonsseri...'>]"
Ground Zero GZCS 100BMW-SQ+B,,Varenr :,17480,Enhet :,par,Listepris :,Antall Pakke :,3 290.00,par,Vekt :,1.9900 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>Tekniske data: \r\n</li><li>\r...'>]"
GLADEN Tesla Model S / X kabelsett Premium A - sluttsolgt!,,Varenr :,50170,Enhet :,stk,Listepris :,Antall Pakke :,3 290.00,stk,Vekt :,.0000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>VARENAVN: BXMWKTESXPMM \r\n</...'>]"
DD Audio 1506 D2 ESP - sluttsolgt!,Digital Design subwoofer,Varenr :,30159,Enhet :,stk,Listepris :,Antall Pakke :,2 990.00,stk,Vekt :,7.9900 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>6,5"" subwoofer \r\n</li><li>2...'>]"
Ground Zero BASSKIT 12.300X - sluttsolgt!,12 basskasse med forsterker,Varenr :,17464,Enhet :,stk,Listepris :,Antall Pakke :,2 990.00,stk,Vekt :,16.9000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li><strong>12"" basspakke med f...'>]"
GLADEN RSX VW T6 / T6.1 - sluttsolgt!,German Technology,Varenr :,50183,Enhet :,stk,Listepris :,Antall Pakke :,2 990.00,stk,Vekt :,8.5000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>Subwoofer for VW T6, T6.1 o...'>]"
GLADEN ONE 200 T5-G2 - sluttsolgt!,Plug & Play Kit VW T5,Varenr :,50101,Enhet :,par,Listepris :,Antall Pakke :,2 990.00,par,Vekt :,.0000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li><strong><em>KAMPANJE - FØRP...'>]"
Ground Zero GZCS 100MB - sluttsolgt!,,Varenr :,17570,Enhet :,par,Listepris :,Antall Pakke :,2 990.00,par,Vekt :,.0000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>De fleste originale lydanle...'>]"
Ground Zero GZTA 4125X-B - sluttsolgt!,Titanium 4 kanaler,Varenr :,17628,Enhet :,stk,Listepris :,Antall Pakke :,2 590.00,stk,Vekt :,4.6000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li><em>De nye 2020 modellene i...'>]"
Ground Zero GZTB 20ACT - sluttsolgt!,,Varenr :,17446,Enhet :,stk,Listepris :,Antall Pakke :,2 590.00,stk,Vekt :,4.3000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>8"" aktiv bass med sortlakke...'>]"
Ground Zero GZTA 2255X-B - sluttsolgt!,Titanium 2 kanaler,Varenr :,17619,Enhet :,stk,Listepris :,Antall Pakke :,2 490.00,stk,Vekt :,4.9000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li><em>De nye 2020 modellene i...'>]"
Ground Zero GZCM 8.0N-PRO - sluttsolgt!,Competition PRO,Varenr :,17498,Enhet :,stk,Listepris :,Antall Pakke :,2 490.00,stk,Vekt :,.0000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>Stykkpris! \r\n</li><li>diame...'>]"
FOCAL PS165V1 - Eisa vinner - sluttsolgt!,Performance serien 165mm,Varenr :,16044,Enhet :,par,Listepris :,Antall Pakke :,2 490.00,par,Vekt :,.0000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li><strong><em><font size=""4"">...'>]"
Ground Zero GZRC 165 JUBILEUM 25 ÅR - sluttsolgt!,Ground Zero 25 års jubileumsett,Varenr :,17634,Enhet :,par,Listepris :,Antall Pakke :,2 490.00,par,Vekt :,4.0000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>Ground Zero feirer 25 år me...'>]"
Ground Zero GZIA 2.240 - ny modell august,Iridium 2 kanaler med auto on/off,Varenr :,17663,Enhet :,stk,Listepris :,Antall Pakke :,2 190.00,stk,Vekt :,3.0000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>Alle forsterkerene i den me...'>]"
FOCAL AP-4340,Focal Performance Auditor 4 kanaler,Varenr :,16158,Enhet :,stk,Listepris :,Antall Pakke :,1 990.00,stk,Vekt :,3.1600 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>RMS Effekt 4Ohm: 4 x 70W</l...'>]"
Ground Zero GZIA 4.120 - ny modell august,Iridium 4 kanaler med auto on/off,Varenr :,17664,Enhet :,stk,Listepris :,Antall Pakke :,1 990.00,stk,Vekt :,2.9800 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>Alle forsterkerene i den me...'>]"
DD Audio LE-S06d - sluttsolgt!,"Digital Design 6,5"" basskasse",Varenr :,30060,Enhet :,stk,Listepris :,Antall Pakke :,1 990.00,stk,Vekt :,9.2000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>LE-S is more! DD Audio LE-S...'>]"
Ground Zero GZIB 300XBR,"Iridium 1x12"" Basskasse",Varenr :,17357,Enhet :,stk,Listepris :,Antall Pakke :,1 890.00,stk,Vekt :,12.9000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>Kompakt kasse med bra lyd. ...'>]"
Ground Zero GZIB 250XBR - sluttsolgt!,"Iridium 10"" Basskasse",Varenr :,17544,Enhet :,stk,Listepris :,Antall Pakke :,1 790.00,stk,Vekt :,14.0000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>Kompakt kasse med bra lyd. ...'>]"
Ground Zero GZIW 12SPL - sluttsolgt!,Iridium SPL Subwoofer,Varenr :,17395,Enhet :,stk,Listepris :,Antall Pakke :,1 760.00,stk,Vekt :,7.5700 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>Testutdrag (car&amp;hifi): ...'>]"
"DD Audio 512d D2 12"" bass - sluttsolgt!",Digital Design subwoofer,Varenr :,30048,Enhet :,stk,Listepris :,Antall Pakke :,1 690.00,stk,Vekt :,7.3500 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>30 cm / 12"" bass \r\n</li><li...'>]"
FOCAL PC100 - sluttsolgt!,Performance serien 100mm,Varenr :,16039,Enhet :,par,Listepris :,Antall Pakke :,1 590.00,par,Vekt :,1.7200 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>2-veis coaxialsystem. \r\n</l...'>]"
Ground Zero GZCF 165COAX - sluttsolgt!,Competition line,Varenr :,17409,Enhet :,stk,Listepris :,Antall Pakke :,1 590.00,stk,Vekt :,2.7500 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>Stykkpris! \r\n</li><li>\r\n</l...'>]"
FOCAL SUB P25DB - sluttsolgt!,Performance serien 250mm,Varenr :,16045,Enhet :,stk,Listepris :,Antall Pakke :,1 590.00,stk,Vekt :,5.1500 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>250mm (10"") Bass</li>\r\n<li>...'>]"
FOCAL 30A4 - sluttsolgt!,"12"" sub Access serien",Varenr :,16131,Enhet :,stk,Listepris :,Antall Pakke :,1 590.00,stk,Vekt :,5.1500 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>300mm (12"") Bass</li>\r\n<li>...'>]"
DD Audio 510d D2  - sluttsolgt!,Digital Design subwoofer,Varenr :,30072,Enhet :,stk,Listepris :,Antall Pakke :,1 590.00,stk,Vekt :,7.0500 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>25 cm / 10"" bass \r\n</li><li...'>]"
DD Audio EC6.5 - sluttsolgt!,Digital Design høyttalersett,Varenr :,30029,Enhet :,par,Listepris :,Antall Pakke :,1 490.00,par,Vekt :,4.5000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>2-veis komponentsystem. \r\n<...'>]"
FOCAL 6KP mellomtone til 165KR og 165KPS - sluttsolgt,,Varenr :,10867,Enhet :,STK,Listepris :,Antall Pakke :,1 480.00,STK,Vekt :,14.0000 Kg,[]
SounDigital SD400.4 - sluttsolgt!,Soundigital 4 kanals forsterker,Varenr :,33007,Enhet :,stk,Listepris :,Antall Pakke :,1 390.00,stk,Vekt :,.0000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>Soundigitals Evolusjonsseri...'>]"
FOCAL 25A4 - sluttsolgt!,"10"" sub Access serien",Varenr :,16121,Enhet :,stk,Listepris :,Antall Pakke :,1 290.00,stk,Vekt :,4.6000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>250mm (10"") Bass</li>\r\n<li>...'>]"
FOCAL RCX-690 - sluttsolgt!,"Focal Performance Auditor 6X9""",Varenr :,16204,Enhet :,par,Listepris :,Antall Pakke :,1 190.00,par,Vekt :,4.0000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>3-veis coaxialsystem</li>\r\n...'>]"
DD Audio SW10-D4 - sluttsolgt!,Digital Design subwoofer,Varenr :,30145,Enhet :,stk,Listepris :,Antall Pakke :,1 090.00,stk,Vekt :,.0000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>REDLINE SW-serien subwoofer...'>]"
GLADEN VB08 - sluttsolgt!,German Technology,Varenr :,50168,Enhet :,stk,Listepris :,Antall Pakke :,1 090.00,stk,Vekt :,.0000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>Portet kasse for 8"" bass \r\n...'>]"
GLADEN RS 08 Extreme - sluttsolgt!,German Technology,Varenr :,50109,Enhet :,stk,Listepris :,Antall Pakke :,990.00,stk,Vekt :,3.2500 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>Gladen RS subwoofere deler ...'>]"
Ground Zero GZCM 10-4FX - sluttsolgt!,Competition line,Varenr :,17363,Enhet :,stk,Listepris :,Antall Pakke :,990.00,stk,Vekt :,4.1700 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>- Extra flat high power mid...'>]"
GLADEN 25GOLF6/7 - sluttsolgt!,German Technology,Varenr :,50166,Enhet :,par,Listepris :,Antall Pakke :,690.00,par,Vekt :,.0000 Kg,"[<Selector query=""//div[@id = 'PInfo_Right']/ul"" data='<ul>\r\n<li>VW Golf 6/7 diskant \r\n</li>...'>]"
